Sample,X(ms) [03.06.2012 08:21:14 460 UTC],"Data_block_1".Pressure_PV,"Data_block_1".Pressure_SP
0,0.000000,2.01648044586182,2
1,103.629900,2.01666355133057,2
2,203.565700,2.01245188713074,2
3,299.070960,2.01153635978699,2
4,395.735740,2.01080393791199,2
5,498.396620,2.00915575027466,2
6,597.958660,2.00695848464966,2
7,686.809980,2.00402855873108,2
8,791.238700,2.00366234779358,2
9,904.092620,2.00201439857483,2
10,992.643940,1.9996337890625,2
11,1080.963220,1.99816882610321,2
12,1177.831400,1.99615454673767,2
13,1293.445560,1.99487268924713,2
14,1386.739440,1.99395716190338,2
15,1474.907620,1.99230909347534,2
16,1567.690700,1.9899286031723,2
17,1683.036160,1.98773121833801,2
18,1778.700380,1.98736500740051,2
19,1867.596260,1.98498439788818,2
20,1955.940140,1.98425197601318,2
21,2071.958500,1.98260390758514,2
22,2166.093420,1.98187148571014,2
23,2254.769580,1.9809558391571,2
24,2351.003020,1.97875845432281,2
25,2466.052440,1.97692728042603,2
26,2565.622560,1.97491300106049,2
27,2654.337200,1.97491300106049,2
28,2742.467020,1.97454679012299,2
29,2854.939880,1.9730818271637,2
30,2951.860840,1.97125065326691,2
31,3040.105340,1.97033512592316,2
32,3128.551560,1.96923637390137,2
33,3234.713060,1.96758830547333,2
34,3344.542880,1.96740520000458,2
35,3439.343360,1.96594035625458,2
36,3527.992480,1.96520781517029,2
37,3632.322340,1.96136236190796,2
38,3737.344380,1.96172857284546,2
39,3825.897880,1.96081304550171,2
40,3914.721080,1.96154546737671,2
41,4013.507920,1.96154546737671,2
42,4124.683740,1.95953118801117,2
43,4213.471720,1.95989739894867,2
44,4309.994680,1.95678448677063,2
45,4411.393020,1.95733380317688,2
46,4524.682460,1.95531952381134,2
47,4613.578140,1.95513641834259,2
48,4701.839960,1.95440399646759,2
49,4791.868160,1.9525728225708,2
50,4907.060220,1.95202338695526,2
51,4999.660540,1.9522066116333,2
52,5087.929300,1.95129096508026,2
53,5176.021600,1.94982600212097,2
54,5287.557340,1.94964289665222,2
55,5396.961580,1.94982600212097,2
56,5485.509520,1.94817793369293,2
57,5573.962840,1.94762861728668,2
58,5668.915060,1.94762861728668,2
59,5784.017540,1.94726240634918,2
60,5873.015720,1.94726240634918,2
61,5961.441280,1.94616365432739,2
62,6049.727720,1.94707930088043,2
63,6165.077320,1.94652998447418,2
64,6267.734080,1.94543123245239,2
65,6360.340220,1.9439662694931,2
66,6448.500880,1.94524812698364,2
67,6561.830940,1.94378316402435,2
68,6658.316480,1.94488191604614,2
69,6746.473180,1.94414937496185,2
70,6834.786080,1.9432338476181,2
71,6942.072180,1.9432338476181,2
72,7050.696680,1.9425014257431,2
